wind_speed,generator_speed,power,wind_direction,wind_direction_mean,yaw_position,yaw_speed,pitch1_moto_tmp,pitch2_moto_tmp,pitch3_moto_tmp,environment_tmp,int_tmp
0.333175258,0.346110026,-0.11246424,3.082161832,1.491676827,1.073381048,-0.980824259,-0.379,-0.4,-0.359,0.621821482,1.145026102
0.170904741,0.332814807,-0.110472322,2.805944748,0.387256017,1.061732476,-1.050591696,-0.379,-0.4,-0.359,0.621821482,1.145026102
0.137713044,0.449147979,-0.044387509,2.080874904,-0.37140002,1.05590819,-0.806405666,-0.379,-0.4,-0.359,0.621821482,1.145026102
1.292046495,1.250184965,1.016953333,-0.979955651,-0.411929224,-0.684464181,-0.004080136,-1.03,-1.069,-1.019,-0.074103807,0.055074523
1.170343607,1.263480184,0.984895169,-1.356301427,-2.235743405,-0.684464181,-0.004080136,-1.03,-1.069,-1.019,-0.056745126,0.055074523
0.775731214,0.718376177,0.126800278,-0.693380427,-0.149755936,-0.684464181,-0.004080136,-1.05,-1.089,-1.039,-0.167209458,0.055074523
0.421686449,0.641928664,0.092773629,-0.52074475,2.190805596,-0.684464181,-0.004080136,-1.05,-1.089,-1.039,-0.167209458,0.055074523
2.586522665,1.280099209,2.50779859,0.931121295,0.139014643,-0.59132296,-0.004080136,0.79,0.65,0.65,-0.452838659,-0.023325502
2.306237227,1.187032671,2.50779859,0.910405013,0.046557396,-0.59132296,-0.004080136,0.83,0.659,0.659,-0.452838659,-0.002291349
2.40212435,1.243537355,2.50379132,0.894867802,0.106084665,-0.59132296,-0.004080136,0.83,0.669,0.669,-0.43705804,-0.023325502
2.379996552,1.300042039,2.52181232,0.768843758,1.172509345,-0.585498674,0.170338457,0.85,0.69,0.69,-0.421277421,-0.002291349
2.214038069,1.286746819,2.497768697,0.699789487,-0.033234474,-0.59132296,-0.004080136,0.86,0.69,0.7,-0.43705804,-0.023325502
2.579146732,1.300042039,2.50379132,0.730863909,0.207407675,-0.59132296,-0.004080136,0.86,0.7,0.709,-0.43705804,-0.023325502
2.475883676,1.230242135,2.51780505,0.722232125,0.602567414,-0.59132296,-0.004080136,0.88,0.709,0.709,-0.43705804,-0.023325502
2.140278743,1.170413647,2.48577032,0.654904211,0.901470294,-0.59132296,-0.004080136,0.869,0.719,0.709,-0.421277421,-0.023325502
1.926376698,1.22027072,2.091276795,0.670441422,0.857141477,-0.59132296,-0.004080136,0.9,0.719,0.73,-0.43705804,-0.023325502
1.826801608,1.273451599,2.285500528,0.748127477,0.702623886,-0.585498674,0.135454738,0.9,0.73,0.73,-0.421277421,-0.040535264
1.915312799,1.280099209,2.487762238,0.808549964,0.294798771,-0.59132296,-0.004080136,0.88,0.75,0.73,-0.421277421,-0.023325502
